name,description
Aerospace,
 Agriculture,
 Automotive,
Biotechnology  ,
Cargo & Freight  ,
Cause,
Chemical  ,
College & University,
Community Organization,
Community Services,
Computer  ,
Consulting Agency,
Education,
Energy  ,
Finance  ,
Food & Beverage  ,
Government Organization,
Health/Beauty,
Industrial  ,
Insurance  ,
Internet  ,
Labor Union,
Legal  ,
Media/News  ,
Medical  ,
Middle School,
Mining  ,
Non-Governmental Organization,
Non-Profit Organization,
Organization,
Political Organization,
Political Party,
Preschool,
Religious Organization,
Retail  ,
School,
"Science, Technology & Engineering",
Telecommunication  ,
Tobacco  ,
Travel  ,